biome_name,agent,year_nr,fitted,intercept,model_type,AIC,breakpoint,breakpoint_se,bp_ci_low,bp_ci_high,slope,slope_se,slope_ci_low,slope_ci_high,year,slope_year,combined_se,lower_95,upper_95,fitted_upper,fitted_lower
Temperate,Natural,1,76.21008803685615,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1985,72.9492338656895,4.0543674875179185,65.00267359015437,80.89579414122461,75.60948979310632,76.81069539310631
Temperate,Natural,2,75.69174348060598,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1986,64.7159533517472,4.009765263674718,56.856813434944755,72.57509326854965,74.49054699310632,76.89295819310632
Temperate,Natural,3,75.17339892435581,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1987,75.94105523757075,4.06170462683491,67.98011416897432,83.90199630616718,73.37160419310632,76.97522099310632
Temperate,Natural,4,74.65505436810562,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1988,76.48208394980016,4.013533062170649,68.61555914794569,84.34860875165462,72.25266139310632,77.05748379310631
Temperate,Natural,5,74.13670981185545,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1989,65.2465101953926,3.99915388875209,57.40816857343851,73.0848518173467,71.13371859310632,77.13974659310632
Temperate,Natural,6,73.61836525560528,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1990,83.16399494107128,3.986277882806077,75.35089029077137,90.9770995913712,70.01477579310632,77.22200939310632
Temperate,Natural,7,73.10002069935511,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1991,81.04298305142993,4.072125219986205,73.06161762025697,89.02434848260289,68.89583299310632,77.30427219310631
Temperate,Natural,8,72.58167614310493,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1992,75.12656797632857,4.0301241478649334,67.2275246465133,83.02561130614384,67.77689019310631,77.38653499310632
Temperate,Natural,9,72.06333158685476,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1993,66.14289717826811,4.014895429963958,58.273702135538755,74.01209222099747,66.65794739310633,77.46879779310632
Temperate,Natural,10,71.54498703060459,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1994,81.83504894015962,4.034452439714738,73.92752215831874,89.74257572200051,65.53900459310631,77.55106059310631
Temperate,Natural,11,71.02664247435442,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1995,65.51639495985971,4.0698426944511805,57.539503278735395,73.49328664098402,64.42006179310631,77.63332339310632
Temperate,Natural,12,70.50829791810423,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1996,60.27818123862895,4.001167766710054,52.43589241587725,68.12047006138066,63.301118993106314,77.71558619310632
Temperate,Natural,13,69.98995336185406,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1997,65.66826259638293,4.016328216797014,57.796259291460785,73.54026590130508,62.182176193106315,77.79784899310631
Temperate,Natural,14,69.47160880560389,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1998,92.02980798223491,4.073964972015075,84.04483663708538,100.01477932738447,61.063233393106316,77.88011179310632
Temperate,Natural,15,68.95326424935372,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,1999,74.49188444524445,4.0758731474955825,66.5031730761531,82.4805958143358,59.94429059310632,77.96237459310632
Temperate,Natural,16,68.43491969310355,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,2000,60.293639033775406,3.9736318712191543,52.505320566185866,68.08195750136495,58.82534779310632,78.04463739310631
Temperate,Natural,17,67.91657513685337,76.72843259310632,segmented,321.2173951182722,29.962339500646106,1.6173493029022563,26.792334866957685,33.13234413433453,-0.51834,0.30643,-1.1189428000000001,0.08226279999999997,2001,62.177812194382014,4.093808356956062,54.153947814748136,70.20167657401589,57.70640499310632,78.12690019310632
