year,slope_year,combined_se,lower_95,upper_95,biome_name,agent
1985,60.74707789998027,2.7632414630976005,55.33112463230897,66.16303116765157,Boreal,Harvest
1986,42.3930586862968,2.2086053243028467,38.06419225066322,46.721925121930376,Boreal,Harvest
1987,51.814411400832405,2.326800280476418,47.25388285109862,56.37493995056619,Boreal,Harvest
1988,48.13859338594113,2.2559807941426215,43.71687102942159,52.560315742460666,Boreal,Harvest
1989,52.019089017270836,2.322359323676036,47.46726474286581,56.570913291675865,Boreal,Harvest
1990,45.27489068499324,2.291964559692576,40.78264014799579,49.767141221990684,Boreal,Harvest
1991,59.34176555523925,2.3642857593561155,54.707765466901265,63.97576564357723,Boreal,Harvest
1992,62.12627528808827,2.2940151828453175,57.630005529711454,66.62254504646509,Boreal,Harvest
1993,27.10041970172993,2.2433697478713697,22.703414995902044,31.497424407557816,Boreal,Harvest
1994,54.47472038760055,2.278660081909652,50.00854662705763,58.940894148143464,Boreal,Harvest
1995,38.92597738706231,2.3353076576758527,34.34877437801764,43.503180396106984,Boreal,Harvest
1996,56.48009251019833,2.4126786570687533,51.75124234234357,61.20894267805309,Boreal,Harvest
1997,55.01494228041591,2.284630553898095,50.53706639477564,59.492818166056175,Boreal,Harvest
1998,54.46061443783145,2.440656874414825,49.676926963978396,59.24430191168451,Boreal,Harvest
1999,61.432733282452766,2.3940775911808343,56.74034120373833,66.1251253611672,Boreal,Harvest
2000,63.38924160541829,2.5279082995974615,58.43454133820727,68.34394187262932,Boreal,Harvest
2001,48.68723359245714,2.2445586401798834,44.28789865770457,53.086568527209714,Boreal,Harvest
2002,51.43107853528444,2.316591929279421,46.89055835389678,55.971598716672105,Boreal,Harvest
2003,61.42254350981803,2.4469907380093976,56.62644166331961,66.21864535631644,Boreal,Harvest
2004,23.57045060094537,2.2433620829412506,19.17346091838052,27.96744028351022,Boreal,Harvest
2005,39.64587698525485,2.2493926427748008,35.23706740541624,44.05468656509346,Boreal,Harvest
2006,54.011201358977885,2.354061817354233,49.39724019696359,58.625162520992184,Boreal,Harvest
2007,53.52648969185253,2.390089081723911,48.84191509167367,58.211064292031395,Boreal,Harvest
2008,52.38178899038512,2.4129480472397313,47.65241081779524,57.11116716297499,Boreal,Harvest
2009,36.706769208895246,2.2824317763996995,32.23320292715184,41.180335490638655,Boreal,Harvest
2010,48.31555888704765,2.3613861969209746,43.68724194108254,52.94387583301276,Boreal,Harvest
2011,53.79043836891443,2.3348005904489746,49.21422921163444,58.36664752619442,Boreal,Harvest
2012,43.43881582500587,2.381511280285952,38.7710537156454,48.106577934366335,Boreal,Harvest
